Артикул;Наименование товара;Название ТР (ТС);ТК;Признак-категория;Доступное кол-во;Цена 1;Процент НДС;Скидка;Экономия в руб.;Цена со скидкой
32177;Шпагат льняной банковский 1,25ктекс П6 (0,5кг/боб.);ТР Упаковочные материалы;Упаковочные материалы;О;813;485;20;0,1;48,5;436,5
882896;Лезвие запасное для ножей эконом 18мм 10шт./уп. пласт.футляр;ТР Инструменты, электрика и свет;Ножи и ножницы для работ;D;32850;26;20;0;0;26
882894;Нож канцелярский 18 мм Attache Economy  с фиксатором, полибег, цв.вассорт.;ТР Инструменты, электрика и свет;Ножи и ножницы для работ;D;88193;18;20;0;0;18
267663;Маркер лаковый ICO DECO белый 2-4 мм;ТР Инструменты, электрика и свет;Средства маркировки;D;438;219;20;0;0;219
633903;Маркер лаковый Attache 4 мм черный;ТР Инструменты, электрика и свет;Средства маркировки;О;10689;137;20;0;0;137
633900;Маркер лаковый Attache 2 мм белый;ТР Инструменты, электрика и свет;Средства маркировки;О;15823;111;20;0,47;52,17;58,83
865460;Маркер лаковый Attache 4 мм красный;ТР Инструменты, электрика и свет;Средства маркировки;О;5757;140;20;0;0;140
1619226;Папка-регистратор ,75мм Attache Economy мет.угол_бюджет реестр ч/б;ТР Папки, системы архивации документов;Папки рег-ры с ар.мех._стандарт. р-ры;Т;-434;179,2;20;0,22;39,424;139,776
1619228;Папка-регистратор , 50мм Attache Economy мет.угол_бюджет реест ч/б;ТР Папки, системы архивации документов;Папки рег-ры с ар.мех._стандарт. р-ры;Т;1725;179,2;20;0,2;35,84;143,36
1547354;Скоросшиватель пластиковый Attache, А4, Элементари, синий 10шт/уп;ТР Папки, системы архивации документов;Скоросшиватели, механизмы для скоросшивателей;D;567;251;20;0,2;50,2;200,8
1547354;Скоросшиватель пластиковый Attache, А4, Элементари, синий 10шт/уп;ТР Папки, системы архивации документов;Скоросшиватели, механизмы для скоросшивателей;D;567;251;20;0,2;50,2;200,8
830837;Папка с завязками 220г/м2 немелованная, 20 шт/уп. 1496196, 1496170;ТР Папки, системы архивации документов;Папки архивные;О;777;380;20;0,2;76;304
1160670;Файл-вкладыш А4 Attache Economy,Стандарт ,100шт./уп.с перф.,Россия;ТР Папки, системы архивации документов;Файлы-вкладыши;О;46916;280;20;0,2;56;224
1082131;Файл-вкладыш перфорированная А4 100шт, Attache  Economy гладкаяS.Элементари;ТР Папки, системы архивации документов;Файлы-вкладыши;Т;8330;237,91;20;0,2;47,582;190,328
1678477;Файл-вкладыш А4, 45мкм, Attache Economy Элементари, рифленый, 100шт/уп;ТР Папки, системы архивации документов;Файлы-вкладыши;D;1013;323;20;0,2;64,6;258,4
198683;Папка-планшет Attache A4 черный с верх. створкой;ТР Папки, системы архивации документов;Папки-планшеты;О;388;198;20;0,2;39,6;158,4
1291982;Папка-планшет с крышкой А4 Attache 0,5 мм;ТР Папки, системы архивации документов;Папки-планшеты;D;294;114;20;0,2;22,8;91,2
931249;Шило канцелярское малое  Эконом, диам. 0,2 см, без блистера;ТР Папки, системы архивации документов;Механизмы и материалы для архивации;D;1111;80,1;20;0,2;16,02;64,08
34466;Папка на 2-х кольцах пласт. 25/32мм А4 ATTACHE F502/07 синяя Ро;ТР Папки, системы архивации документов;Папки пластиковые;О;396;193;20;0,2;38,6;154,4
166835;Папка на 4-х кольцах пласт. 25/32мм вертик. А3 ATTACHE, черный;ТР Папки, системы архивации документов;Папки пластиковые;О;390;458;20;0,2;91,6;366,4
926646;Папка с зажимом метал. Attache 15мм экономи 0,4 синий;ТР Папки, системы архивации документов;Папки пластиковые;D;3013;92,5;20;0,5;46,25;46,25
1547364;Папка файловая на 40 файлов Attache Economy Элементари А4 700мкм син;ТР Папки, системы архивации документов;Папки пластиковые;D;235;131;20;0,2;26,2;104,8
875574;Папка-конверт с клапаном 180 прозрачный 10 шт/уп;ТР Папки, системы архивации документов;Папки-уголки/с клапаном/конверты;О;498;271;20;0,2;54,2;216,8
1393171;Папка уголок Attache Economy прозрачный 60 мкм 50шт/уп;ТР Папки, системы архивации документов;Папки-уголки/с клапаном/конверты;D;2207;217;20;0,2;43,4;173,6
501746;Папка-конверт на кнопке Attache Economy А4 100мкм прозрачный 10шт в уп;ТР Папки, системы архивации документов;Папки-уголки/с клапаном/конверты;О;2312;241;20;0,2;48,2;192,8
1243048;Папка-конверт на кнопке А5 Attache цвет в ассортименте 120 мкм 10 шт/уп;ТР Папки, системы архивации документов;Папки-уголки/с клапаном/конверты;О;384;279;20;0,2;55,8;223,2
52570;Дозакупка НДС 20% (шт);ТР Коммерческая дозакупка ОБ;Специализированный ассортимент;У;-1002028;0;20;0;0;0
52570;Дозакупка НДС 20% (шт);ТР Коммерческая дозакупка ОБ;Специализированный ассортимент;У;-1002028;0;20;0;0;0
52570;Дозакупка НДС 20% (шт);ТР Коммерческая дозакупка ОБ;Специализированный ассортимент;У;-1002028;0;20;0;0;0
52570;Дозакупка НДС 20% (шт);ТР Коммерческая дозакупка ОБ;Специализированный ассортимент;У;-1002028;0;20;0;0;0
52570;Дозакупка НДС 20% (шт);ТР Коммерческая дозакупка ОБ;Специализированный ассортимент;У;-1002028;0;20;0;0;0
991437;Салфетки Attache Selection Smart Price д/экранов, туба, 100 шт, 110х110;ТР Гигиеническая продукция;Салфетки;О;8887;165;20;0,1;16,5;148,5
325533;Корзина для мусора 10 л пластик, черная эконом;ТР Гигиеническая продукция;Бытовые емкости для мусора;D;7753;238;20;0,1;23,8;214,2
